sex,minority,mathPrescore,mathGain,ses,teachXper,teachrMath,povertyRate,teachrMathprep,classid,schoolid,childid
M,1,380,118,-0.01,3,1.05,0.047,2.75,229,33,398
F,1,395,137,0.06,3,1.05,0.047,2.75,229,33,399
M,1,454,58,2.17,3,1.05,0.047,2.75,229,33,400
M,1,393,57,0.55,3,1.05,0.047,2.75,229,33,401
M,1,453,60,-0.41,2,0.58,0.303,3,2,34,402
M,0,472,52,-1.61,2,0.58,0.303,3,2,34,403
F,1,437,85,0.55,2,0.58,0.303,3,2,34,404
F,1,475,56,0.04,7,0.5,0.303,4.17,188,34,405
M,1,412,41,-1.43,7,0.5,0.303,4.17,188,34,406
F,1,423,73,-1.43,7,0.5,0.303,4.17,188,34,407
M,1,439,-12,-0.83,7,0.5,0.303,4.17,188,34,408
F,0,422,44,-0.97,3,0.71,0.13,5,56,35,409
F,0,507,10,-0.49,3,0.71,0.13,5,56,35,410
M,0,483,-7,-0.62,3,0.71,0.13,5,56,35,411
F,1,499,48,-1.01,3,0.71,0.13,5,56,35,412
F,1,478,55,0.39,3,0.71,0.13,5,56,35,413
M,0,456,53,-0.31,10,1.86,0.13,2,122,35,414
M,0,494,8,-0.85,10,1.86,0.13,2,122,35,415
F,0,480,54,-0.52,10,1.86,0.13,2,122,35,416
M,0,551,7,-0.27,10,1.86,0.13,2,122,35,417
M,0,446,26,-1.13,10,1.86,0.13,2,122,35,418
M,0,476,34,-0.17,10,1.86,0.13,2,122,35,419
F,1,500,31,-0.18,1,-0.12,0.088,3,63,36,420
F,0,500,80,-0.16,1,-0.12,0.088,3,63,36,421
F,1,446,77,0.54,14,0.48,0.088,1.5,180,36,422
M,1,445,60,1.07,14,0.48,0.088,1.5,180,36,423
F,1,436,88,-0.84,14,0.48,0.088,1.5,180,36,424
F,1,504,76,-0.5,14,0.48,0.088,1.5,180,36,425
M,1,420,88,-0.35,14,0.48,0.088,1.5,180,36,426
F,1,495,76,-0.27,14,0.48,0.088,1.5,180,36,427
F,1,448,37,-0.02,9,-1.53,0.249,2,103,37,428
F,1,465,5,-0.44,9,-1.53,0.249,2,103,37,429
F,1,473,18,-0.48,9,-1.53,0.249,2,103,37,430
M,1,350,136,-0.35,28,-0.28,0.249,3,125,37,431
F,1,429,65,0.5,28,-0.28,0.249,3,125,37,432
M,1,450,53,-0.51,28,-0.28,0.249,3,125,37,433
M,1,440,48,0.11,28,-0.28,0.249,3,125,37,434
F,1,407,74,-1.02,1,1.13,0.249,2,210,37,435
F,1,438,80,0.21,1,1.13,0.249,2,210,37,436
F,1,434,6,-0.28,1,1.13,0.249,2,210,37,437
M,1,452,39,0.4,5,-1.14,0.249,1.5,249,37,438
F,1,477,10,0.26,2,-0.52,0.17,2.5,16,38,439
M,1,502,61,0.37,2,-0.52,0.17,2.5,16,38,440
M,1,470,32,-0.37,2,-0.52,0.17,2.5,16,38,441
M,1,475,77,-0.38,2,-0.52,0.17,2.5,16,38,442
F,1,437,57,1.34,2,-0.52,0.17,2.5,16,38,443
M,1,359,99,0.28,2,-0.52,0.17,2.5,16,38,444
M,1,441,9,1.26,14,NA,0.17,2.5,309,38,445
M,1,436,51,0.07,14,NA,0.17,2.5,309,38,446
M,1,494,34,-0.9,14,NA,0.17,2.5,309,38,447
M,1,544,-34,-0.66,2,-0.76,0.123,1.5,79,39,448
M,0,483,28,-0.6,2,-0.76,0.123,1.5,79,39,449
F,1,516,74,-0.62,2,-0.76,0.123,1.5,79,39,450
M,1,545,-22,-0.17,2,-0.76,0.123,1.5,79,39,451
M,1,451,45,-0.39,2,-0.76,0.123,1.5,79,39,452
F,1,471,21,-0.86,2,-0.36,0.123,1.75,198,39,453
F,1,511,0,-0.82,2,-0.36,0.123,1.75,198,39,454
F,1,490,48,-1.12,20,NA,0.123,2,274,39,455
F,1,592,-11,-0.29,7,-1.09,0.123,2.75,288,39,456
M,1,424,85,0.16,7,-1.09,0.123,2.75,288,39,457
M,1,566,52,-0.5,7,-1.09,0.123,2.75,288,39,458
M,1,450,41,-0.61,7,-1.09,0.123,2.75,288,39,459
M,0,475,16,-0.36,1,-1.09,0.279,1.5,9,40,460
F,1,526,8,-0.52,1,-1.09,0.279,1.5,9,40,461
M,1,448,-51,-0.72,1,-1.09,0.279,1.5,9,40,462
M,1,467,87,-0.57,6,-1.04,0.279,2.5,257,40,463
M,0,525,64,-0.62,6,-1.04,0.279,2.5,257,40,464
M,0,491,24,-0.22,6,-1.04,0.279,2.5,257,40,465
F,1,464,85,-0.27,6,-1.04,0.279,2.5,257,40,466
M,1,446,65,1.2,28,-0.1,0.036,2.83,18,41,467
M,1,431,91,-0.41,29,-0.35,0.036,5.25,50,41,468
M,1,450,58,0.25,29,-0.35,0.036,5.25,50,41,469
F,0,474,77,0.69,29,-0.35,0.036,5.25,50,41,470
M,0,543,0,0.17,29,-0.35,0.036,5.25,50,41,471
M,1,473,88,-0.38,11,-0.68,0.036,2.25,142,41,472
M,1,452,70,-0.48,11,-0.68,0.036,2.25,142,41,473
M,0,498,103,-0.39,11,-0.68,0.036,2.25,142,41,474
F,1,472,67,-1.11,11,-0.68,0.036,2.25,142,41,475
F,1,459,76,-0.03,0,-1.28,0.157,2,54,42,476
M,1,523,33,0.41,0,-1.28,0.157,2,54,42,477
F,1,506,48,-0.65,0,-1.28,0.157,2,54,42,478
F,1,481,59,0.3,0,-1.28,0.157,2,54,42,479
F,1,463,50,0.63,20,1.65,0.157,2.75,70,42,480
F,1,484,77,-0.94,6,0.27,0.157,3,207,42,481
F,1,430,33,-0.93,6,0.27,0.157,3,207,42,482
F,1,463,40,-1.02,6,0.27,0.157,3,207,42,483
F,1,475,55,0.05,6,0.27,0.157,3,207,42,484
M,1,483,47,-1.24,6,0.27,0.157,3,207,42,485
F,1,424,62,-0.92,6,0.27,0.157,3,207,42,486
M,1,461,74,0.43,14,0.61,0.157,2.5,296,42,487
F,1,468,39,-0.2,14,0.61,0.157,2.5,296,42,488
F,1,415,99,0,14,0.61,0.157,2.5,296,42,489
F,1,432,59,0.1,14,0.61,0.157,2.5,296,42,490
M,1,499,54,-0.14,14,0.61,0.157,2.5,296,42,491
M,1,453,91,-0.33,14,0.61,0.157,2.5,296,42,492
M,1,508,67,1.66,14,0.61,0.157,2.5,296,42,493
F,1,470,25,0.49,2,0.92,0.179,2.25,220,43,494
M,1,471,70,0.26,2,0.92,0.179,2.25,220,43,495
F,1,517,37,-0.82,1,2.61,0.179,2.25,227,43,496
F,1,422,90,-1.35,1,2.61,0.179,2.25,227,43,497
M,0,482,65,0.97,20,1.94,0.347,2.5,176,44,498
F,1,414,86,-0.04,20,1.94,0.347,2.5,176,44,499
F,0,435,79,-0.03,20,1.94,0.347,2.5,176,44,500
F,0,465,71,0.43,20,1.94,0.347,2.5,176,44,501
F,0,499,36,0.68,4,1.31,0.347,2,219,44,502
M,0,423,98,-0.32,4,1.31,0.347,2,219,44,503
F,0,448,68,-0.03,4,1.31,0.347,2,219,44,504
M,1,483,34,-1.11,4,1.31,0.347,2,219,44,505
M,0,443,126,-0.3,21,1.47,0.347,2.24,246,44,506
F,0,523,25,0.54,21,1.47,0.347,2.24,246,44,507
F,1,417,70,-0.7,21,1.47,0.347,2.24,246,44,508
M,0,432,115,-0.03,21,1.47,0.347,2.24,246,44,509
M,0,547,-3,0.54,11,-0.61,0.347,2,268,44,510
F,0,477,80,1.21,11,-0.61,0.347,2,268,44,511
M,0,420,97,-0.03,11,-0.61,0.347,2,268,44,512
M,0,509,67,0.83,11,-0.61,0.347,2,268,44,513
F,0,494,59,-0.47,11,-0.61,0.347,2,268,44,514
F,1,503,8,-0.04,25,0.64,0.164,3.25,300,45,515
M,1,461,87,0.29,25,0.64,0.164,3.25,300,45,516
M,1,469,71,-1.28,25,0.64,0.164,3.25,300,45,517
M,1,482,90,-0.96,25,0.64,0.164,3.25,300,45,518
F,1,459,77,-0.67,25,0.64,0.164,3.25,300,45,519
M,1,381,97,-0.16,10,1.89,0.238,2,19,46,520
M,1,464,62,-0.74,10,1.89,0.238,2,19,46,521
M,1,484,39,1.09,11,0.03,0.238,2.67,69,46,522
M,1,470,28,0.51,11,0.03,0.238,2.67,69,46,523
F,1,502,47,-0.08,11,0.03,0.238,2.67,69,46,524
F,1,441,72,-0.36,22,1.13,0.238,1.75,71,46,525
M,1,459,85,0.83,22,1.13,0.238,1.75,71,46,526
M,1,420,81,-0.57,2,NA,0.238,2.5,133,46,527
F,1,474,34,-0.12,2,NA,0.238,2.5,133,46,528
F,1,461,36,0.35,2,NA,0.238,2.5,133,46,529
M,1,481,16,0.07,18,-1.44,0.238,3.17,240,46,530
F,1,438,34,-0.83,18,-1.44,0.238,3.17,240,46,531
F,1,469,71,-0.58,18,-1.44,0.238,3.17,240,46,532
M,1,413,88,-0.74,2,-0.78,0.257,2.5,61,47,533
F,1,462,14,-0.81,2,-0.78,0.257,2.5,61,47,534
M,1,488,91,0.5,25,1.57,0.257,3.17,82,47,535
M,1,400,57,0.07,25,1.57,0.257,3.17,82,47,536
M,1,442,7,-0.04,25,1.57,0.257,3.17,82,47,537
M,1,485,54,0.05,25,1.57,0.257,3.17,82,47,538
M,1,290,253,-0.4,25,1.57,0.257,3.17,82,47,539
M,1,438,70,-0.11,2,1.12,0.257,2,155,47,540
F,1,446,52,-0.22,2,1.12,0.257,2,155,47,541
F,1,501,52,1.11,2,1.12,0.257,2,155,47,542
M,1,421,68,-0.03,5,NA,0.159,2,153,48,543
F,1,418,40,-0.43,5,NA,0.159,2,153,48,544
F,1,430,25,-0.56,5,NA,0.159,2,153,48,545
F,1,464,61,1.91,5,NA,0.159,2,153,48,546
M,1,458,36,1.32,5,NA,0.159,2,153,48,547
F,1,391,64,-1.35,5,NA,0.159,2,153,48,548
F,1,430,80,-0.5,20,-1.73,0.142,2.25,105,49,549
M,1,409,144,0.26,20,-1.73,0.142,2.25,105,49,550
M,1,459,48,0.03,20,-1.73,0.142,2.25,105,49,551
M,1,462,142,0.71,20,-1.73,0.142,2.25,105,49,552
M,1,480,3,-0.36,6,-0.72,0.142,3.5,212,49,553
M,1,503,77,-0.03,6,-0.72,0.142,3.5,212,49,554
M,0,458,66,-0.23,6,-0.72,0.142,3.5,212,49,555
M,1,459,92,1.84,6,-0.72,0.142,3.5,212,49,556
M,0,521,2,0.06,6,-0.78,0.044,2,25,50,557
F,0,507,70,-0.41,6,-0.78,0.044,2,25,50,558
M,0,506,63,1.23,6,-0.78,0.044,2,25,50,559
F,1,502,13,-0.28,6,-0.78,0.044,2,25,50,560
M,0,477,46,-0.01,18,-1.33,0.044,2,127,50,561
M,0,470,85,-0.64,18,-1.33,0.044,2,127,50,562
F,1,506,31,-0.6,18,-1.33,0.044,2,127,50,563
M,0,553,20,1.23,7,0.92,0.044,2,289,50,564
F,1,469,26,0.97,7,0.92,0.044,2,289,50,565
F,0,483,95,-0.22,7,0.92,0.044,2,289,50,566
M,1,479,26,-0.4,7,0.92,0.044,2,289,50,567
M,0,494,50,-0.02,7,0.92,0.044,2,289,50,568
F,0,472,62,-0.03,15,0.8,0.096,2,59,51,569
F,0,420,84,-0.09,15,0.8,0.096,2,59,51,570
M,1,454,35,0.2,15,0.8,0.096,2,59,51,571
M,1,495,45,-1.05,15,0.8,0.096,2,59,51,572
F,1,521,48,0.82,7,1.91,0.138,1.67,255,52,573
M,1,524,65,1.16,7,1.91,0.138,1.67,255,52,574
F,1,521,43,0.92,7,1.91,0.138,1.67,255,52,575
F,1,496,32,0.63,7,1.91,0.138,1.67,255,52,576
M,1,498,49,0.49,7,1.91,0.138,1.67,255,52,577
F,1,462,61,0.4,7,1.91,0.138,1.67,255,52,578
F,1,422,35,-1.03,30,-0.61,0.138,3,270,52,579
M,1,428,30,-1.51,30,-0.61,0.138,3,270,52,580
F,1,434,15,-0.53,30,-0.61,0.138,3,270,52,581
F,1,489,47,-0.03,27,0.47,0.101,2,14,53,582
F,1,434,65,-0.51,27,0.47,0.101,2,14,53,583
F,1,394,112,-0.03,27,0.47,0.101,2,14,53,584
M,1,488,142,-0.28,27,0.47,0.101,2,14,53,585
F,1,512,14,-0.99,32,0.22,0.101,2.5,149,53,586
M,1,520,46,-0.2,32,0.22,0.101,2.5,149,53,587
M,1,491,61,-0.03,32,0.22,0.101,2.5,149,53,588
F,0,460,91,-0.05,32,0.22,0.101,2.5,149,53,589
M,0,471,48,0.06,5,1.97,0.137,2,259,54,590
M,0,516,29,2.04,5,1.97,0.137,2,259,54,591
M,0,510,31,1.86,5,1.97,0.137,2,259,54,592
M,1,457,60,0.12,5,1.97,0.137,2,259,54,593
M,0,504,54,1.79,5,1.97,0.137,2,259,54,594
M,0,544,23,1.79,5,1.97,0.137,2,259,54,595
F,1,506,5,-0.71,5,1.97,0.137,2,259,54,596
F,0,451,32,2.93,5,1.97,0.137,2,259,54,597
M,0,515,16,-0.33,2,1.61,0.137,2,301,54,598
M,1,504,64,0.12,2,1.61,0.137,2,301,54,599
F,0,497,20,-0.18,20,-0.19,0.065,2.5,24,55,600
M,0,476,6,-0.62,24,-0.27,0.065,2.25,35,55,601
F,0,525,55,-0.03,24,-0.27,0.065,2.25,35,55,602
M,1,472,113,-1.28,24,-0.27,0.065,2.25,35,55,603
M,0,427,67,1.09,24,-0.27,0.065,2.25,35,55,604
F,0,446,62,0.45,2,-0.76,0.065,4,117,55,605
F,0,465,59,0.09,2,-0.76,0.065,4,117,55,606
M,0,498,46,0.17,2,-0.76,0.065,4,117,55,607
M,1,495,36,-1.02,2,-0.76,0.065,4,117,55,608
M,0,491,18,-0.32,2,-0.76,0.065,4,117,55,609
F,1,463,54,-1.15,2,-0.76,0.065,4,117,55,610
M,0,478,76,-0.8,2,-0.76,0.065,4,117,55,611
F,0,415,84,-0.24,2,-0.76,0.065,4,117,55,612
F,0,506,-4,-0.43,13,0.85,0.04,2.75,3,56,613
F,0,516,18,-0.26,13,0.85,0.04,2.75,3,56,614
M,0,456,33,-0.51,13,0.85,0.04,2.75,3,56,615
F,0,511,122,1.54,13,0.24,0.04,3,168,56,616
F,0,524,53,0.12,13,0.24,0.04,3,168,56,617
M,0,480,77,-0.37,13,0.24,0.04,3,168,56,618
M,0,521,26,0.07,13,0.24,0.04,3,168,56,619
M,0,505,55,0.38,13,0.24,0.04,3,168,56,620
M,0,482,85,0.02,13,0.24,0.04,3,168,56,621
M,0,470,56,-1.28,13,0.24,0.04,3,168,56,622
F,1,431,89,-0.96,33,-0.26,0.289,3,36,57,623
M,1,349,132,-0.76,9,0.65,0.289,3.5,40,57,624
F,1,465,127,0.19,9,0.65,0.289,3.5,40,57,625
F,1,474,22,-0.86,9,0.65,0.289,3.5,40,57,626
F,1,435,69,-1.14,19,0.57,0.289,2.5,171,57,627
F,1,484,39,-0.05,22,-0.41,0.289,3,250,57,628
M,1,498,52,-0.07,22,-0.41,0.289,3,250,57,629
M,1,466,34,-1.15,1,0.89,0.289,2.5,272,57,630
M,1,456,36,0.32,28,NA,0.101,6,12,58,631
F,0,480,62,0.55,28,NA,0.101,6,12,58,632
M,1,451,51,-0.8,28,NA,0.101,6,12,58,633
F,1,500,109,-0.28,28,NA,0.101,6,12,58,634
F,0,533,-8,0.05,28,NA,0.101,6,12,58,635
M,1,536,6,-0.85,5,-1.28,0.362,1.5,34,59,636
F,0,506,41,0.01,8,0.02,0.362,1,108,59,637
M,1,455,54,0.27,8,0.02,0.362,1,108,59,638
M,1,540,79,-0.28,8,0.02,0.362,1,108,59,639
F,1,482,102,-0.03,5,0.47,0.243,1,121,60,640
M,1,493,122,-0.03,5,0.47,0.243,1,121,60,641
M,1,445,72,-0.03,5,0.47,0.243,1,121,60,642
F,1,432,36,-0.03,5,0.47,0.243,1,121,60,643
M,1,445,118,-0.68,5,0.47,0.243,1,121,60,644
M,1,415,79,-0.03,5,0.47,0.243,1,121,60,645
F,1,443,59,-0.03,5,-1.43,0.243,2,242,60,646
F,1,428,78,-0.73,5,-1.43,0.243,2,242,60,647
M,1,449,74,-0.07,5,-1.43,0.243,2,242,60,648
M,1,492,79,-0.03,5,-1.43,0.243,2,242,60,649
M,1,515,24,0.3,5,-1.43,0.243,2,242,60,650
M,1,489,23,-0.03,5,-1.43,0.243,2,242,60,651
F,1,470,94,-0.03,5,-1.43,0.243,2,242,60,652
M,1,442,35,-0.09,2,-0.72,0.335,2.5,1,61,653
M,1,422,109,-1.32,2,-0.72,0.335,2.5,1,61,654
F,1,482,66,0.43,2,-0.72,0.335,2.5,1,61,655
F,1,489,19,-0.06,2,-0.72,0.335,2.5,1,61,656
M,1,460,10,-1.28,2,-0.72,0.335,2.5,1,61,657
M,1,448,52,-0.03,1,-0.72,0.335,2,124,61,658
F,1,449,15,-0.03,0,0.89,0.335,2,192,61,659
F,1,441,37,-1.35,0,0.89,0.335,2,192,61,660
F,1,503,22,-1.21,4,0.84,0.335,4.25,267,61,661
F,1,454,50,-1.06,4,0.84,0.335,4.25,267,61,662
M,1,456,62,-1.03,4,0.84,0.335,4.25,267,61,663
F,0,629,-84,2.33,13,0.89,0.17,2.74,22,62,664
F,0,501,179,2,13,0.89,0.17,2.74,22,62,665
M,0,589,11,2.43,13,0.89,0.17,2.74,22,62,666
M,0,524,65,0.46,13,0.89,0.17,2.74,22,62,667
F,0,466,78,3.16,13,0.89,0.17,2.74,22,62,668
F,0,502,41,0.46,13,0.89,0.17,2.74,22,62,669
F,0,532,55,1.06,13,0.89,0.17,2.74,22,62,670
M,0,500,57,0.08,13,0.89,0.17,2.74,22,62,671
F,0,527,37,2.06,32,0.89,0.17,2.3,46,62,672
M,0,496,61,3.21,32,0.89,0.17,2.3,46,62,673
F,0,596,23,0.73,32,0.89,0.17,2.3,46,62,674
M,0,499,112,1.81,32,0.89,0.17,2.3,46,62,675
M,1,419,67,1.22,32,0.89,0.17,2.3,46,62,676
F,1,474,17,0.04,24,0.96,0.072,2,310,63,677
M,0,510,84,-0.67,24,0.96,0.072,2,310,63,678
M,1,496,64,-0.55,24,0.96,0.072,2,310,63,679
M,1,432,76,-0.86,8,-0.42,0.18,3.5,38,64,680
F,0,436,77,0.07,8,-0.42,0.18,3.5,38,64,681
M,1,472,49,0.18,8,-0.42,0.18,3.5,38,64,682
M,0,420,79,-0.69,8,-0.42,0.18,3.5,38,64,683
F,1,447,97,0.75,8,-0.42,0.18,3.5,38,64,684
M,0,463,40,-0.03,8,-0.42,0.18,3.5,38,64,685
F,1,429,67,0.11,8,-0.42,0.18,3.5,38,64,686
M,0,494,32,-0.02,4,-0.51,0.18,2,294,64,687
F,1,449,95,-0.08,4,-0.51,0.18,2,294,64,688
M,1,465,62,-0.03,4,-0.51,0.18,2,294,64,689
F,1,466,17,-0.71,40,-1.36,0.05,5,95,65,690
F,0,448,25,0.01,40,-1.36,0.05,5,95,65,691
M,1,524,52,0.3,3,0.89,0.05,2.5,128,65,692
F,1,466,88,-0.63,3,0.89,0.05,2.5,128,65,693
M,0,521,76,1.29,3,0.89,0.05,2.5,128,65,694
F,1,408,69,-0.72,3,0.89,0.05,2.5,128,65,695
M,1,474,23,-0.45,2,-1.07,0.05,3.75,284,65,696
F,0,521,65,-0.99,2,-1.07,0.05,3.75,284,65,697
M,0,503,92,1.17,2,-1.07,0.05,3.75,284,65,698
M,0,514,64,-0.03,29,-0.54,0.509,2.17,91,66,699
F,1,478,56,-0.2,29,-0.54,0.509,2.17,91,66,700
M,0,443,84,0.06,29,-0.54,0.509,2.17,91,66,701
F,0,445,53,0.22,29,-0.54,0.509,2.17,91,66,702
M,0,474,61,0.61,16,0,0.509,2.75,218,66,703
M,0,500,38,1.79,16,0,0.509,2.75,218,66,704
M,0,464,57,-0.62,29,0.75,0.509,3,269,66,705
M,0,506,66,-0.07,29,0.75,0.509,3,269,66,706
M,1,413,102,0.25,5,1.08,0.339,5.33,4,67,707
M,1,427,86,-0.12,5,1.08,0.339,5.33,4,67,708
M,1,482,66,-0.7,5,1.08,0.339,5.33,4,67,709
M,1,430,106,-0.53,5,1.08,0.339,5.33,4,67,710
F,1,441,79,-0.46,5,1.08,0.339,5.33,4,67,711
M,1,429,110,-0.75,5,1.08,0.339,5.33,4,67,712
F,1,401,107,0.05,17,-1.02,0.339,3.5,73,67,713
F,1,513,55,0.06,17,-1.02,0.339,3.5,73,67,714
F,1,437,82,-1.45,17,-1.02,0.339,3.5,73,67,715
F,1,479,32,-0.71,18,-0.66,0.339,1,245,67,716
M,1,431,57,-1.04,18,-0.66,0.339,1,245,67,717
F,0,436,79,-0.03,18,-0.66,0.339,1,245,67,718
F,1,542,36,-0.55,23,0.04,0.209,1.5,57,68,719
M,1,487,44,-1.24,23,0.04,0.209,1.5,57,68,720
M,1,501,39,-0.36,23,0.04,0.209,1.5,57,68,721
F,1,463,86,-0.83,23,0.04,0.209,1.5,57,68,722
F,1,290,214,-0.67,16,-0.07,0.209,6,244,68,723
F,1,488,75,-0.57,7,-0.75,0.209,2,263,68,724
F,1,508,29,-0.34,7,-0.75,0.209,2,263,68,725
F,1,489,71,-0.71,7,-0.75,0.209,2,263,68,726
M,1,491,29,-0.8,23,-1.06,0.209,3.17,271,68,727
F,1,435,91,-0.57,23,-1.06,0.209,3.17,271,68,728
F,1,414,93,-1.15,23,-1.06,0.209,3.17,271,68,729
M,1,409,128,-0.96,26,-0.71,0.209,1.67,298,68,730
F,1,490,52,-0.16,26,-0.71,0.209,1.67,298,68,731
F,1,500,59,-0.16,26,-0.71,0.209,1.67,298,68,732
F,1,473,79,-1.21,26,-0.71,0.209,1.67,298,68,733
F,1,423,123,0.88,26,-0.71,0.209,1.67,298,68,734
M,1,365,107,-0.03,0,-0.52,0.523,2,90,69,735
F,1,443,66,-0.76,0,-0.52,0.523,2,90,69,736
M,1,431,83,1.03,6,-0.72,0.523,2,290,69,737
M,1,425,45,-0.64,6,-0.72,0.523,2,290,69,738
F,1,456,22,0.55,6,-0.72,0.523,2,290,69,739
M,1,484,96,-1.15,3,-1.28,0.43,2,83,70,740
M,1,464,45,-1.19,3,-1.28,0.43,2,83,70,741
F,1,509,53,-0.46,3,-1.28,0.43,2,83,70,742
F,1,463,68,-1.45,3,-1.28,0.43,2,83,70,743
M,1,400,107,-0.09,3,-1.28,0.43,2,83,70,744
F,1,418,108,-1.15,3,-1.28,0.43,2,83,70,745
F,1,403,117,-0.59,3,-1.28,0.43,2,83,70,746
F,1,405,62,-0.36,5,1.15,0.43,2.33,146,70,747
M,1,428,145,0.11,5,1.15,0.43,2.33,146,70,748
M,1,496,63,0.16,5,1.15,0.43,2.33,146,70,749
F,1,471,45,-1.27,6,-0.3,0.43,3.25,152,70,750
F,1,434,36,-1.25,6,-0.3,0.43,3.25,152,70,751
F,1,447,69,-0.98,6,-0.3,0.43,3.25,152,70,752
F,1,481,66,-1.45,6,-0.3,0.43,3.25,152,70,753
M,1,368,218,-1.14,6,-0.3,0.43,3.25,152,70,754
F,1,439,54,-0.49,6,-0.3,0.43,3.25,152,70,755
M,1,468,68,-0.03,0,0.12,0.43,2.5,261,70,756
F,1,466,81,-1.02,3,-1.22,0.43,4.5,311,70,757
M,1,514,32,-0.31,3,-1.22,0.43,4.5,311,70,758
F,0,488,45,1.21,8,1.24,0.085,2.5,80,71,759
M,0,459,95,0.14,8,1.24,0.085,2.5,80,71,760
M,1,459,24,-0.03,8,1.24,0.085,2.5,80,71,761
M,0,551,10,1.16,8,1.24,0.085,2.5,80,71,762
M,0,500,68,1.09,8,1.24,0.085,2.5,80,71,763
M,1,455,60,-0.78,8,1.24,0.085,2.5,80,71,764
F,0,551,82,-0.19,31,0.45,0.085,2,120,71,765
M,0,485,80,-0.05,31,0.45,0.085,2,120,71,766
M,0,537,104,2.07,31,0.45,0.085,2,120,71,767
F,0,499,85,1.08,31,0.45,0.085,2,120,71,768
M,0,494,35,0.1,31,0.45,0.085,2,120,71,769
M,0,502,54,0.93,31,0.45,0.085,2,120,71,770
F,0,545,39,0.8,31,0.45,0.085,2,120,71,771
F,0,527,50,1.27,31,0.45,0.085,2,120,71,772
F,0,523,70,-0.69,3,0.51,0.085,3,209,71,773
F,0,517,80,0.16,3,0.51,0.085,3,209,71,774
F,0,561,34,0.91,5,1.25,0.085,1.83,264,71,775
F,0,452,49,2.06,5,1.25,0.085,1.83,264,71,776
F,1,477,1,0.02,5,1.25,0.085,1.83,264,71,777
M,0,480,43,-0.2,5,1.25,0.085,1.83,264,71,778
F,0,556,2,0.72,5,1.25,0.085,1.83,264,71,779
F,0,473,55,0.28,5,1.25,0.085,1.83,264,71,780
F,0,543,78,0.8,5,1.25,0.085,1.83,264,71,781
M,0,502,63,0.24,10,-0.01,0.085,3.83,304,71,782
M,0,513,10,0.97,10,-0.01,0.085,3.83,304,71,783
F,0,446,72,0.3,10,-0.01,0.085,3.83,304,71,784
M,1,506,29,0.46,10,-0.01,0.085,3.83,304,71,785
M,0,542,77,0.6,19,0.12,0.249,2.5,29,72,786
M,0,469,88,0.8,19,0.12,0.249,2.5,29,72,787
F,1,510,20,-0.38,19,0.12,0.249,2.5,29,72,788
M,0,523,28,-0.22,26,-0.67,0.249,3,148,72,789
M,0,510,51,0.56,26,-0.67,0.249,3,148,72,790
F,0,532,47,-0.37,26,-0.67,0.249,3,148,72,791
F,0,498,37,0.37,26,-0.67,0.249,3,148,72,792
F,0,524,113,1.95,4,-0.38,0.249,2,243,72,793
F,0,520,16,0.69,4,-0.38,0.249,2,243,72,794
F,1,488,53,0.27,4,-0.38,0.249,2,243,72,795
M,1,478,28,0.62,4,-0.38,0.249,2,243,72,796
F,1,489,70,-0.03,16,1.62,0.117,2.5,213,73,797
